NameRank,MaleName,MaleCount,MalePer,FemaleName,FemaleCount,FemalePer
1,Michael,"65,306",3.03%,Jessica,"46,478",2.26%
2,Christopher,"52,353",2.43%,Ashley,"45,561",2.22%
3,Matthew,"44,817",2.08%,Brittany,"36,536",1.78%
4,Joshua,"43,226",2.01%,Amanda,"34,413",1.68%
5,Daniel,"33,827",1.57%,Samantha,"25,868",1.26%
6,David,"33,743",1.57%,Sarah,"25,822",1.26%
7,Andrew,"33,670",1.56%,Stephanie,"24,864",1.21%
8,James,"32,359",1.50%,Jennifer,"22,234",1.08%
9,Justin,"30,647",1.42%,Elizabeth,"20,749",1.01%
10,Joseph,"30,127",1.40%,Lauren,"20,507",1.00%
11,Ryan,"29,254",1.36%,Megan,"20,258",0.99%
12,John,"29,087",1.35%,Emily,"19,366",0.94%
13,Robert,"28,881",1.34%,Nicole,"17,957",0.87%
14,Nicholas,"27,911",1.30%,Kayla,"17,537",0.85%
15,Anthony,"25,084",1.17%,Amber,"15,864",0.77%
16,William,"24,905",1.16%,Rachel,"15,709",0.76%
17,Jonathan,"24,079",1.12%,Courtney,"15,380",0.75%
18,Kyle,"22,709",1.06%,Danielle,"14,338",0.70%
19,Brandon,"22,162",1.03%,Heather,"14,219",0.69%
20,Jacob,"22,019",1.02%,Melissa,"13,997",0.68%
